"Year","Colorado","Utah","Wyoming","Arizona","New.Mexico","Oklahoma","Kansas","Nebraska","Texas","Washington","Oregon","Idaho","Montana"
2006,1.1,1.11,2.07,2.07,1.88,1.57,1.55,1.39,1.48,1.12,1.35,1.76,2.34
2007,1.14,1.11,1.6,1.7,1.54,1.61,1.38,1.32,1.42,1,1.31,1.6,2.45
2008,1.15,1.06,1.68,1.52,1.39,1.55,1.29,1.09,1.48,0.94,1.24,1.52,2.12
2009,1.01,0.93,1.4,1.31,1.39,1.57,1.31,1.15,1.35,0.87,1.11,1.46,2.01
2010,0.96,0.95,1.66,1.27,1.38,1.4,1.44,0.98,1.29,0.8,0.94,1.32,1.69
2011,0.96,0.93,1.46,1.39,1.36,1.47,1.29,0.95,1.29,0.8,0.99,1.05,1.79
2012,1.01,0.82,1.33,1.37,1.43,1.48,1.32,1.1,1.43,0.77,1.02,1.13,1.72
2013,1.03,0.81,0.93,1.4,1.24,1.41,1.16,1.09,1.39,0.76,0.93,1.34,1.9
2014,1,0.93,1.59,1.23,1.52,1.4,1.25,1.15,1.45,0.8,1.03,1.15,1.58
2015,1.08,0.93,1.51,1.37,1.09,1.35,1.13,1.22,1.36,0.95,1.24,1.3,1.81
